"objectid","AGENCY","REGULATION","DAYS","HOURS","HRS_BEGIN","HRS_END","REGDETAILS","MODIFIED","EDITOR","RPPAREA1","RPPAREA2","RPPAREA3","FID_100","LENGTH_FT","CONFLICT","ENACTED","CREATED_US","CREATED_DA","LAST_EDITE","LAST_EDI_1","HRLIMIT","CREATED_USER","CREATED_DATE","LAST_EDITED_USER","LAST_EDITED_DATE","RPP_SYM","MTAB_DATE","MTAB_MOTION","MTAB_RESO_TEXT","SYM_RPP2","GLOBALID","EXCEPTIONS","FROM_TIME","TO_TIME","shape","data_as_of","analysis_neighborhood","supervisor_district","data_loaded_at"
"7445",,"Time limited","M-F","900-1800","900","1800",,"2015-01-07 16:00:00-08:00","Mark C. Dreger","N",,,"3076","383","0",,,,,,"2",,,"RAYNELLCOOPER","2024-04-29 17:21:10-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.473990553 37.781814028, -122.473914429 37.780764073))","2024 Apr 29 05:21:10 PM","Outer Richmond","1","2025 May 03 10:16:38 AM"
"17286",,"Time limited","M-F","800-1800","800","1800",,,,"L",,,"1718","238","0","7/19/2016",,,"mta","1442448000000","2","LULUBRIEN","2025-04-28 18:02:32-07:00","LULUBRIEN","2025-04-28 18:02:32-07:00","lapis lazuli, 2.5 pt, no dash",,,,"lapis lazuli, 2.5 pt, no dash | 2, M-F, 800-1800",,"Yes. RPP holders are exempt from time limits.","8am","6pm","MULTILINESTRING ((-122.463752822 37.775441908, -122.462929853 37.775479351))","2025 Apr 28 06:02:32 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"2596",,"Time limited","M-F","900-1800","900","1800",,,,"N",,,"7445","596","0",,,,,,"2",,,"MTA","2017-05-12 17:13:37-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.475310075 37.784442193, -122.475428496 37.786075601))","2017 May 12 05:13:37 PM","Outer Richmond","1","2025 May 03 10:16:38 AM"
"7157",,"Time limited","M-F","900-1800","900","1800",,,,"N",,,"7477","74","0",,,,,,"2",,,"MTA","2017-05-12 17:13:38-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.472122096 37.786440543, -122.472138266 37.786643052))","2017 May 12 05:13:38 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"6968",,"Time limited","M-F","800-1800","800","1800",,,,"L",,,"7000","486","0",,,,,,"2",,,"MTA","2017-05-12 17:13:12-07:00","lapis lazuli, 2.5 pt, no dash",,,,"lapis lazuli, 2.5 pt, no dash | 2, M-F, 800-1800",,"Yes. RPP holders are exempt from time limits.","8am","6pm","MULTILINESTRING ((-122.45826124 37.775315163, -122.456598291 37.775521553))","2017 May 12 05:13:12 PM","Lone Mountain/USF","1","2025 May 03 10:16:38 AM"
"1019",,"Time limited","M-F","800-1800","800","1800",,,,"L",,,"7022","182","0",,,,,,"2",,,"MTA","2017-05-12 17:13:38-07:00","lapis lazuli, 2.5 pt, no dash",,,,"lapis lazuli, 2.5 pt, no dash | 2, M-F, 800-1800",,"Yes. RPP holders are exempt from time limits.","8am","6pm","MULTILINESTRING ((-122.455529618 37.779936315, -122.454910927 37.780022657))","2017 May 12 05:13:38 PM","Lone Mountain/USF","1","2025 May 03 10:16:38 AM"
"14401",,"Time limited","M-F","900-1800","900","1800",,,,"N",,,"7440","258","0",,,,,,"2","RAYNELLCOOPER","2023-04-27 11:43:06-07:00","RAYNELLCOOPER","2023-04-27 11:43:10-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.475244653 37.784390098, -122.474354032 37.78443772))","2023 Apr 27 11:43:10 AM","Outer Richmond","1","2025 May 03 10:16:38 AM"
"6137",,"Time limited","M-F","800-1800","800","1800",,,,"L",,,"6988","175","0",,,,,,"2",,,"MTA","2017-05-12 17:13:10-07:00","lapis lazuli, 2.5 pt, no dash",,,,"lapis lazuli, 2.5 pt, no dash | 2, M-F, 800-1800",,"Yes. RPP holders are exempt from time limits.","8am","6pm","MULTILINESTRING ((-122.455048491 37.777700878, -122.454451101 37.777780164))","2017 May 12 05:13:10 PM","Lone Mountain/USF","1","2025 May 03 10:16:38 AM"
"6129",,"Time limited","M-F","900-1800","900","1800",,"2014-12-30 16:00:00-08:00","Mark C. Dreger","N",,,"1665","238","0",,,,,,"2",,,"MTA","2017-05-12 17:13:23-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.470435093 37.778737778, -122.469611839 37.778774979))","2017 May 12 05:13:23 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"5996",,"Time limited","M-F","800-1800","800","1800",,,,"L",,,"7063","207","0",,,,,,"2",,,"MTA","2017-05-12 17:13:12-07:00","lapis lazuli, 2.5 pt, no dash",,,,"lapis lazuli, 2.5 pt, no dash | 2, M-F, 800-1800",,"Yes. RPP holders are exempt from time limits.","8am","6pm","MULTILINESTRING ((-122.447528077 37.77633926, -122.447418187 37.775778484))","2017 May 12 05:13:12 PM","Lone Mountain/USF","1","2025 May 03 10:16:38 AM"
